event_id,fatality_type,FATALITY_DATE,fatality_age,fatality_sex,fatality_location
9994558,Direct,01/10/1972,Unknown,Unknown,
10010123,Direct,04/06/1972,Unknown,Unknown,
10010128,Direct,04/06/1972,Unknown,Unknown,
10087041,Direct,06/20/1972,Unknown,Unknown,
9998280,Direct,06/25/1972,Unknown,Unknown,
10073897,Direct,08/07/1972,Unknown,Unknown,
10039850,Direct,08/09/1972,Unknown,Unknown,
990000002,Direct,6/18/1972 ,30,F,Mobile/Trailer Home
990000003,Direct,6/18/1972 ,16,M,Mobile/Trailer Home
990000003,Direct,6/18/1972 ,60,F,Mobile/Trailer Home
990000003,Direct,6/18/1972 ,49,M,Mobile/Trailer Home
990000003,Direct,6/18/1972 ,66,M,Mobile/Trailer Home
990000003,Direct,6/18/1972 ,59,F,Mobile/Trailer Home
990000003,Direct,6/18/1972 ,Unknown,Unknown,Mobile/Trailer Home
